site_id,latitude,longitude,elevation_in_meters,state,species_id,genus,species,common_name,kingdom,phenophase_id,phenophase_description,pheno_class_id,pheno_class_name,first_yes_sample_size,mean_first_yes_year,mean_first_yes_doy,mean_first_yes_julian_date,se_first_yes_in_days,mean_numdays_since_prior_no,se_numdays_since_prior_no,last_yes_sample_size,mean_last_yes_year,mean_last_yes_doy,mean_last_yes_julian_date,se_last_yes_in_days,mean_numdays_until_next_no,se_numdays_until_next_no,mean_gdd,se_gdd,mean_gddf,se_gddf,tmax_winter,tmax_spring,tmax_summer,tmax_fall,tmin_winter,tmin_spring,tmin_summer,tmin_fall,prcp_winter,prcp_spring,prcp_summer,prcp_fall,mean_accum_prcp,se_accum_prcp,mean_daylength,se_daylength
258,39.184269,-106.854614,2438,CO,29,Prunus,virginiana,chokecherry,Plantae,371,Breaking leaf buds,1,Initial shoot or leaf growth,2,2009,118,2454950,0,4,0,0,-9999,-9999,-9999,-9999,-9999,-9999,163.5,0,294.3,0,1.81,11.54,23.16,14.4,-11.25,-2.97,6.08,-1.49,201,164,110,96,204,0,48730,0
414,44.277962,-70.315315,150,ME,29,Prunus,virginiana,chokecherry,Plantae,371,Breaking leaf buds,1,Initial shoot or leaf growth,0,-9999,-9999,-9999,-9999,-9999,-9999,1,2009,117,2454949,-9999,10,-9999,-9999,-9999,-9999,-9999,-1.48,12.15,23.05,13.6,-13.61,-0.52,12.79,2.79,286,279,568,473,-9999,-9999,-9999,-9999
681,41.296783,-105.5746,2196,WY,29,Prunus,virginiana,chokecherry,Plantae,371,Breaking leaf buds,1,Initial shoot or leaf growth,2,2009,128,2454960,0,5,0,0,-9999,-9999,-9999,-9999,-9999,-9999,309.5,0,557.1,0,2.46,11.6,23.63,14.37,-9.53,-2.67,7.03,-0.99,29,121,171,52,116,0,50803,0
754,42.199036,-91.654839,283,IA,29,Prunus,virginiana,chokecherry,Plantae,371,Breaking leaf buds,1,Initial shoot or leaf growth,1,2009,108,2454940,-9999,3,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,253.25,-9999,455.85,-9999,-2.79,14.98,25.56,15.79,-14.16,2.27,14.29,4.03,113,254,638,202,145,-9999,47693,-9999
990,38.907368,-90.047646,158,IL,29,Prunus,virginiana,chokecherry,Plantae,371,Breaking leaf buds,1,Initial shoot or leaf growth,4,2009,77,2454909,1,3.75,0.25,4,2009,89,2454921,1,5.25,1.4930394056,274.1875,13.3125,493.5375,23.9625,4.89,19.02,28.72,19.2,-5.84,7.55,18.22,7.86,229,387,348,292,105.5,1.5,42681.25,172.75
1109,44.750778,-108.767281,1344,WY,29,Prunus,virginiana,chokecherry,Plantae,371,Breaking leaf buds,1,Initial shoot or leaf growth,1,2009,102,2454934,-9999,2,-9999,1,2009,135,2454967,-9999,1,-9999,145,-9999,261,-9999,1.4,13.98,25.98,15.42,-12.43,-1.52,9.9,0.51,13,20,86,63,16,-9999,47347,-9999
1167,40.096401,-75.970802,267,PA,29,Prunus,virginiana,chokecherry,Plantae,371,Breaking leaf buds,1,Initial shoot or leaf growth,2,2009,111,2454943,0,3,0,0,-9999,-9999,-9999,-9999,-9999,-9999,391.75,0,705.15,0,3.74,16.04,26.21,17.08,-5.77,4.57,15.92,6.23,251,317,521,297,223,0,48038,0
1274,47.754948,-122.357971,98,WA,29,Prunus,virginiana,chokecherry,Plantae,371,Breaking leaf buds,1,Initial shoot or leaf growth,1,2009,110,2454942,-9999,14,-9999,1,2009,145,2454977,-9999,7,-9999,571.25,-9999,1028.25,-9999,6.55,13.6,23.85,15.57,0.3,3.99,12.61,7.16,194,267,40,198,283,-9999,49421,-9999
1294,45.379356,-93.076744,274,MN,29,Prunus,virginiana,chokecherry,Plantae,371,Breaking leaf buds,1,Initial shoot or leaf growth,0,-9999,-9999,-9999,-9999,-9999,-9999,1,2009,121,2454953,-9999,7,-9999,-9999,-9999,-9999,-9999,-5.15,13.37,25.44,14.31,-17.86,-0.16,12.76,2.9,66,80,348,183,-9999,-9999,-9999,-9999
1419,42.011166,-88.503304,280,IL,29,Prunus,virginiana,chokecherry,Plantae,371,Breaking leaf buds,1,Initial shoot or leaf growth,1,2009,101,2454933,-9999,2,-9999,1,2009,120,2454952,-9999,2,-9999,204.25,-9999,367.65,-9999,-2.1,14.48,25.16,15.45,-12.79,2.21,13.77,4.53,238,371,405,411,244,-9999,46656,-9999
